id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
0,maze,101,0,2999988,policy,3000,3000,220.10159301757812,44.0926628112793,10.02208423614502,9.492433547973633,1751,40.02666473388672,118,0.6584394574165344,0,0,0,0,181.55706787109375,40.142704010009766,-2.999964952468872,0.0,-5.66708517074585,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
1,maze,101,1,2999988,policy,3000,3000,218.61293029785156,44.0926628112793,17.809234619140625,9.51661205291748,2409,29.20468521118164,140,0.6150180697441101,0,0,0,0,132.469482421875,47.62690353393555,-2.999964952468872,0.0,-8.43458366394043,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
2,maze,102,0,2999988,policy,3000,3000,161.87770080566406,26.98373794555664,12.417143821716309,7.6583251953125,1099,15.670146942138672,54,0.7936980724334717,0,0,0,0,116.14522552490234,30.018095016479492,-2.999964952468872,0.0,-0.005581252742558718,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
3,maze,102,1,2999988,policy,3000,3000,146.2032470703125,26.98373794555664,12.364021301269531,7.723382472991943,1045,15.720765113830566,33,0.8145203590393066,0,0,0,0,116.52007293701172,18.344383239746094,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
4,maze,103,0,2999988,policy,3000,3000,143.54205322265625,36.81302261352539,21.92978286743164,17.073562622070312,457,15.907289505004883,31,0.675051748752594,0,0,0,0,86.42224884033203,12.631404876708984,-2.999964952468872,0.0,-2.679178237915039,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
5,maze,103,1,2999988,policy,3000,3000,220.58750915527344,36.81302261352539,0.5196906328201294,0.14072775840759277,2444,37.28239822387695,121,0.6911383867263794,0,0,0,0,202.54983520507812,49.30317306518555,-2.999964952468872,0.0,-3.0968894958496094,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
6,maze,104,0,2999988,policy,3000,3000,192.2499542236328,39.78676986694336,16.132543563842773,15.954240798950195,2751,26.631805419921875,92,0.6034401059150696,0,0,0,0,133.87265014648438,34.68492126464844,-2.999964952468872,0.0,-8.56329345703125,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
7,maze,104,1,2999988,policy,3000,3000,137.134521484375,39.78676986694336,27.0336856842041,26.876264572143555,263,12.753631591796875,25,0.781151533126831,0,0,0,0,64.10992431640625,9.425244331359863,-2.999964952468872,0.0,-0.04211893305182457,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
8,maze,105,0,2999988,policy,3000,3000,36.09016799926758,50.997222900390625,39.144779205322266,35.0698356628418,389,19.950206756591797,32,0.6593695878982544,2509,0,0,0,78.2403793334961,9.412280082702637,-2.999964952468872,-250.90611267089844,-104.94791412353516,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
9,maze,105,1,2999988,policy,485,3000,34.69166564941406,50.997222900390625,39.303489685058594,35.0240592956543,381,18.84337615966797,32,0.5856424570083618,0,1,1,0,73.8995590209961,9.412280082702637,-0.48499730229377747,0.0,-3.3670973777770996,0.0,0.0,-300.0,3.0,0.6,36.20426559448242,41.73569107055664
10,maze,106,0,2999988,policy,3000,3000,174.94464111328125,20.522558212280273,4.2691121101379395,0.5470033288002014,2650,18.067909240722656,72,0.8296467065811157,0,0,0,0,176.07887268066406,52.62504577636719,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
11,maze,106,1,2999988,policy,3000,3000,169.66978454589844,20.522558212280273,6.449047565460205,6.449047565460205,3000,14.096165657043457,42,0.7417653799057007,0,0,0,0,137.37265014648438,30.69793701171875,-2.999964952468872,0.0,-0.3061772584915161,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
